col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
24,66,61,21,89,78,61,53,89,25
,,42,28,32,23,100,16,47,81
,50,,18,93,46,52,76,31,11
74,40,94,,,,6,11,80,71
93,67,83,64,29,62,47,,85,
92,16,40,43,66,70,58,11,60,72
9,28,88,98,30,78,32,10,30,100
72,,68,29,29,36,29,55,51,34
51,3,,79,92,22,,33,74,67
91,,8,46,6,98,53,91,3,91
35,4,,4,82,95,52,,74,76
10,20,98,58,82,81,87,78,2,32
42,79,31,88,73,97,29,27,,83
,83,30,72,82,56,55,8,28,87
39,60,15,67,3,37,20,100,,57
32,44,59,54,95,63,60,28,74,59
58,55,59,19,82,40,61,56,1,29
34,10,98,42,80,80,87,62,,53
79,64,89,,9,44,42,22,94,69
14,98,68,,23,68,,62,97,65
77,56,92,30,14,85,51,48,70,38
79,35,20,91,37,43,83,53,12,32
18,72,63,38,56,,90,59,78,9
78,,7,62,36,,11,34,,45
19,,92,58,26,79,94,5,51,8
27,51,5,26,65,2,69,89,70,6
98,27,1,80,61,81,23,36,85,66
59,11,47,92,,84,60,60,81,70
52,25,59,74,,38,92,,67,11
21,61,41,95,50,79,84,6,,41
14,69,81,94,76,76,66,,45,43
39,,19,65,68,70,27,35,94,81
48,64,17,5,89,39,96,42,61,7
13,48,70,1,52,30,74,,50,56
84,72,25,96,,70,25,,62,27
74,1,55,15,25,85,55,60,38,32
43,78,20,92,4,36,38,70,7,89
84,7,,,56,100,77,12,17,84
78,26,39,26,70,80,89,1,18,
28,24,4,50,23,65,48,31,67,81
96,14,54,52,,13,14,67,,71
31,43,95,86,73,,37,5,8,
51,26,41,63,60,,84,41,70,73
27,9,21,99,29,2,75,24,66,17
64,96,67,43,89,76,13,32,66,30
86,24,78,50,52,,32,78,27,66
,70,75,56,67,69,28,16,83,75
20,51,19,74,73,51,30,3,49,53
38,17,55,64,35,63,,22,73,64
8,26,59,93,75,36,30,61,5,28
65,93,94,53,18,1,59,38,99,54
77,75,83,,2,63,56,84,44,77
95,28,76,12,97,64,52,21,100,21
9,33,,22,75,,88,11,3,19
15,72,62,25,23,67,56,82,16,53
63,87,22,25,41,92,96,28,23,28
41,14,35,94,26,99,56,85,15,97
,35,95,47,55,60,,60,,
87,24,16,48,67,,4,19,90,4
42,81,39,52,98,89,11,64,95,80
66,84,26,,52,100,82,,56,69
84,68,58,,20,22,73,63,27,48
88,80,16,39,66,81,11,87,25,98
1,76,33,14,25,66,34,76,,1
92,52,,48,95,35,40,49,,72
43,6,57,41,,56,88,25,92,25
26,90,97,93,,,9,69,54,23
61,97,2,79,2,64,,55,10,25
44,73,84,46,58,,26,,68,74
,95,85,11,28,73,46,62,4,99
,81,18,,28,77,17,59,91,
65,6,18,64,54,84,11,,36,
19,23,57,19,43,63,,97,61,93
14,93,28,58,33,92,71,,24,23
94,16,45,81,14,6,51,,100,54
80,85,95,62,1,7,17,78,73,30
,72,70,77,49,88,2,79,46,20
27,,68,98,74,55,76,71,45,100
38,65,65,51,58,75,40,62,48,
19,11,58,5,,29,83,16,7,97
80,55,66,15,52,37,15,4,51,64
