col_1,col_2,col_3,col_4,col_5,col_6,col_7,col_8,col_9,col_10
1,31,94,55,22,59,39,89,98,1
,15,98,45,100,64,53,73,,45
91,79,69,86,74,44,80,63,100,13
86,100,15,18,19,96,59,24,48,69
9,84,95,72,36,97,28,,82,16
16,49,91,86,7,57,,85,47,20
,68,66,28,7,82,,90,27,92
93,75,88,69,22,68,,60,57,90
,33,12,91,60,70,53,,76,
100,26,30,89,97,74,95,69,28,87
15,36,58,56,90,77,1,53,95,77
22,79,24,97,16,19,30,29,27,52
9,69,7,,53,32,22,87,70,88
78,45,94,11,55,57,68,95,96,98
10,48,46,91,65,,58,93,45,9
77,2,71,21,96,72,32,43,93,87
48,64,6,39,95,,94,36,86,89
41,24,78,83,81,19,47,69,6,22
80,32,17,83,43,79,45,30,,56
90,86,74,25,13,48,3,44,86,14
58,25,70,87,34,57,12,4,34,79
49,7,33,85,36,,78,93,23,77
80,22,18,45,92,,,91,99,98
19,85,7,33,23,,4,41,17,99
93,71,9,40,87,2,30,70,,63
20,69,13,5,42,15,77,2,2,47
2,75,85,40,62,10,70,21,25,55
12,36,80,39,76,26,,12,77,94
60,78,8,26,8,54,94,58,90,51
77,64,100,13,8,5,40,16,77,65
68,84,58,84,39,,4,58,1,67
5,47,,26,87,63,71,17,29,68
67,65,94,55,15,68,93,,72,75
83,63,14,42,22,35,4,73,,75
68,63,38,7,28,30,,50,13,99
14,,,58,39,63,3,45,3,74
74,79,47,31,5,52,70,96,71,42
72,68,92,,84,8,,41,22,73
94,20,76,24,3,64,78,97,6,82
12,10,13,73,83,43,95,,75,66
,23,7,39,,5,57,25,55,81
7,84,35,27,76,92,63,77,6,12
24,22,60,10,61,30,24,65,49,49
36,56,31,24,68,47,66,37,63,58
50,64,59,47,83,39,61,69,31,13
80,30,62,68,86,60,18,57,67,52
73,,3,6,20,71,70,66,16,69
6,7,40,7,54,21,43,72,,72
26,43,18,94,92,25,60,44,50,99
75,43,35,98,53,25,14,76,46,69
42,96,82,,90,22,65,88,22,16
28,68,5,12,38,66,46,18,26,19
48,,42,57,14,71,51,49,63,84
44,55,33,69,,92,68,87,23,77
9,34,2,3,16,5,1,69,56,26
93,63,50,83,,83,5,83,82,91
58,,45,75,88,73,24,11,6,
3,59,86,53,25,77,,20,51,71
71,45,87,66,71,48,15,28,25,21
26,44,27,4,88,25,54,95,63,3
70,100,98,46,44,,8,25,47,49
98,72,29,,75,2,,78,88,31
32,21,24,85,25,53,35,,59,77
87,42,85,51,96,29,96,97,25,92
57,18,21,39,,62,12,86,72,54
,40,63,85,14,49,13,85,8,72
94,91,42,,29,38,19,24,69,4
,38,18,80,39,62,38,3,39,68
29,95,52,56,50,68,58,28,28,18
6,38,41,2,47,50,87,,,46
5,86,32,65,61,,77,,29,41
79,75,78,9,13,76,89,50,1,66
36,90,69,20,4,70,16,90,,
37,,83,50,97,,18,2,27,33
30,26,59,,71,15,,69,44,97
67,2,74,38,88,16,99,64,,80
10,94,72,94,27,70,43,15,80,33
31,26,81,,89,21,57,87,82,71
24,65,82,43,74,,84,98,23,90
49,58,97,33,41,24,38,4,96,93
92,79,5,6,22,5,29,36,13,7
74,54,57,52,21,74,9,36,62,26
83,32,82,90,42,96,45,88,72,63
71,14,53,,52,92,,,26,82
,49,49,,69,5,64,30,95,54
,88,20,89,74,75,24,57,14,71
19,8,11,57,57,33,55,28,91,36
52,100,87,40,11,1,,17,75,59
49,78,85,3,52,23,1,7,80,65
94,54,72,23,96,57,56,63,55,96
70,23,92,2,70,70,3,43,89,40
93,16,51,70,36,,43,,75,
58,34,77,45,19,26,5,42,8,90
80,72,,90,43,60,23,3,49,64
20,89,43,90,79,2,51,86,,100
37,20,91,44,29,96,81,100,15,86
,54,18,55,76,20,27,5,73,
53,,38,46,7,47,22,75,94,32
,96,58,50,,48,4,31,11,21
93,,2,36,62,87,75,40,23,71
67,87,51,83,48,48,99,27,56,26
32,76,11,4,72,54,34,3,97,52
80,99,73,62,43,78,,,,13
39,,15,60,50,88,98,86,,37
88,79,82,16,49,56,62,70,86,79
96,66,73,,11,92,98,85,98,86
60,,20,54,89,,26,84,,
99,54,73,,98,10,7,76,88,100
18,79,3,80,15,16,66,15,54,92
84,26,72,86,91,66,88,81,29,90
41,20,20,,5,95,74,9,67,61
74,38,96,33,80,55,60,67,7,
44,94,51,38,55,,86,82,100,56
76,51,6,11,,45,46,49,40,15
40,4,,28,92,43,9,,18,85
58,21,58,42,,3,90,83,53,57
24,51,4,52,48,44,60,93,61,64
25,74,100,80,96,37,,63,25,26
34,43,58,37,,30,100,22,47,77
78,,75,23,78,21,68,22,,
83,14,14,38,40,45,77,30,1,27
88,65,21,97,27,45,48,100,,
85,91,65,88,57,88,71,24,19,88
100,86,30,,21,23,98,47,50,84
,57,10,72,19,35,90,9,61,32
19,16,95,38,57,10,4,72,81,8
54,22,86,14,55,45,48,27,27,49
76,32,,77,4,75,86,20,65,74
87,27,79,97,6,63,88,54,71,47
48,23,77,17,31,40,99,,85,47
66,77,89,92,44,38,53,58,40,37
6,,4,38,71,98,80,9,16,42
66,,44,90,11,71,3,,87,71
38,29,83,43,36,37,52,49,72,91
44,92,4,,85,60,52,77,58,67
50,,17,28,20,83,40,17,24,36
97,22,48,79,8,64,55,19,98,20
64,21,26,45,33,42,93,52,95,92
,91,11,50,3,2,,41,33,
2,68,,16,93,93,90,35,17,7
91,33,62,82,73,45,24,80,12,41
48,88,76,41,92,50,49,96,92,36
78,14,60,90,,,98,63,52,32
64,6,70,,64,56,49,11,68,45
